Detector, Descriptor, Lidar TTC, Camera TTC, Error
BRISK, BRISK, 8.57352, 12.6983, 0.481111
BRISK, BRISK, 9.51617, 11.5686, 0.215681
BRISK, BRISK, 9.54658, 9.15666, 0.0408437
BRISK, BRISK, 8.3988, 10.4904, 0.249036
BRISK,BRIEF
BRISK, BRIEF, 12.5156, 12.8448, 0.0262993
BRISK, BRIEF, 12.6142, 16.4965, 0.307764
BRISK, BRIEF, 14.091, 11.6672, 0.17201
BRISK, BRIEF, 16.6894, 20.5725, 0.232669
BRISK, BRIEF, 15.9082, 19.161, 0.204472
BRISK, BRIEF, 12.6787, 17.5642, 0.38533
BRISK, BRIEF, 11.9844, 15.5883, 0.300719
BRISK, BRIEF, 13.1241, 18.7451, 0.428291
BRISK, BRIEF, 13.0241, 15.4645, 0.187375
BRISK, BRIEF, 11.1746, 11.4853, 0.0277995
BRISK, BRIEF, 12.8086, 13.3676, 0.0436452
BRISK, BRIEF, 8.95978, 14.3096, 0.597097
BRISK, BRIEF, 9.96439, 12.3266, 0.237069
BRISK, BRIEF, 9.59863, 10.8577, 0.131169
BRISK, BRIEF, 8.57352, 11.6294, 0.356435
BRISK, BRIEF, 9.51617, 12.1739, 0.279284
BRISK, BRIEF, 9.54658, 11.3792, 0.191967
BRISK, BRIEF, 8.3988, 10.7022, 0.274249
BRISK,ORB
BRISK, ORB, 12.5156, 14.8431, 0.185968
BRISK, ORB, 12.6142, 18.9811, 0.504739
BRISK, ORB, 14.091, 13.2623, 0.0588081
BRISK, ORB, 16.6894, 16.9491, 0.0155642
BRISK, ORB, 15.9082, 20.5613, 0.292495
BRISK, ORB, 12.6787, 20.0514, 0.581505
BRISK, ORB, 11.9844, 18.0134, 0.503075
BRISK, ORB, 13.1241, 16.2783, 0.240332
BRISK, ORB, 13.0241, 13.9191, 0.0687155
BRISK, ORB, 11.1746, 11.4508, 0.0247139
BRISK, ORB, 12.8086, 13.3173, 0.0397123
BRISK, ORB, 8.95978, 11.5569, 0.289864
BRISK, ORB, 9.96439, 11.9434, 0.198609
BRISK, ORB, 9.59863, 12.162, 0.267053
BRISK, ORB, 8.57352, 11.243, 0.311357
BRISK, ORB, 9.51617, 11.5484, 0.213557
BRISK, ORB, 9.54658, 9.9519, 0.0424572
BRISK, ORB, 8.3988, 11.238, 0.338051
BRISK,FREAK
